City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,Mahébourg,-20.4081,57.7,27.36,78,40,5.14,MU,2023-02-07
122,Mar del Plata,-38.0023,-57.5575,21.16,91,75,4.12,AR,2023-02-07
123,San Miguel,13.4833,-88.1833,24.14,53,9,1.51,SV,2023-02-07
124,Khatanga,71.9667,102.5,-43.24,100,71,0.62,RU,2023-02-07
125,Lüderitz,-26.6481,15.1594,25.02,58,0,13.11,,2023-02-07
126,Cherskiy,68.75,161.3,-35.85,98,100,2.13,RU,2023-02-07
127,São Filipe,14.8961,-24.4956,20.88,61,0,6.55,CV,2023-02-07
128,Lianzhou,24.7811,112.3825,13.31,92,100,1.48,CN,2023-02-07
129,Cabo San Lucas,22.8909,-109.9124,18.06,68,20,3.09,MX,2023-02-07
130,Avarua,-21.2078,-159.775,27.03,83,40,4.63,CK,2023-02-07
131,Samaná,19.2056,-69.3369,25.12,83,40,4.12,DO,2023-02-07
132,Srandakan,-7.9386,110.2506,24.99,89,100,2.02,ID,2023-02-07
133,Aykhal,66.0,111.5,-38.07,100,97,1.63,RU,2023-02-07
134,Christiana,-27.914,25.1611,28.97,37,98,4.27,ZA,2023-02-07
135,Ponta do Sol,32.6667,-17.1,18.17,72,54,2.74,PT,2023-02-07
136,Coxim,-18.5067,-54.76,23.44,90,100,1.56,BR,2023-02-07
137,Powell River,49.8496,-124.5361,8.44,91,100,5.4,CA,2023-02-07
138,Bethel,41.3712,-73.414,-0.69,53,0,1.34,US,2023-02-07
139,Lavrentiya,65.5833,-171.0,-24.93,91,100,2.4,RU,2023-02-07
140,Ribeira Grande,38.5167,-28.7,14.32,58,75,8.05,PT,2023-02-07
141,Anshun,26.25,105.9333,9.33,96,100,3.68,CN,2023-02-07
142,Lompoc,34.6391,-120.4579,5.88,87,0,3.6,US,2023-02-07
143,Wanning,18.8003,110.3967,22.52,91,58,1.58,CN,2023-02-07
144,Strezhevoy,60.7333,77.5889,-14.19,96,99,3.25,RU,2023-02-07
145,Posyet,42.6508,130.8046,-5.84,71,93,1.22,RU,2023-02-07
146,Kapit,2.0167,112.9333,23.3,98,100,0.38,MY,2023-02-07
147,Boone,39.0334,-92.3335,6.33,70,92,3.24,US,2023-02-07
148,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-16.52,84,66,4.4,RU,2023-02-07
149,Airai,-8.9266,125.4092,16.13,93,58,0.8,TL,2023-02-07
150,Volta Redonda,-22.5231,-44.1042,28.04,73,64,0.87,BR,2023-02-07
151,Bagdarin,54.4333,113.6,-23.1,95,6,1.99,RU,2023-02-07
152,Clyde River,70.4692,-68.5914,-31.87,75,100,1.54,CA,2023-02-07
153,Cairns,-16.9167,145.7667,27.97,83,85,2.57,AU,2023-02-07
154,Darnah,32.766999999999996,22.6367,12.59,66,96,9.11,LY,2023-02-07
155,Kavieng,-2.5744,150.7967,27.03,79,99,1.75,PG,2023-02-07
156,Kaseda-shirakame,31.4167,130.3167,12.87,87,50,3.08,JP,2023-02-07
157,Batagay-Alyta,67.8006,130.4114,-37.61,99,96,0.77,RU,2023-02-07
158,Galveston,29.3669,-94.9669,20.03,89,20,6.17,US,2023-02-07
159,Barranca,-10.75,-77.7667,23.52,74,11,2.6,PE,2023-02-07
160,Pamanukan,-6.2842,107.8106,25.37,87,100,3.19,ID,2023-02-07
161,San Policarpo,12.1791,125.5072,26.17,78,100,4.81,PH,2023-02-07
162,Cherëmukhovo,60.3484,59.9851,-18.57,99,23,1.37,RU,2023-02-07
163,Ostrovnoy,68.0531,39.5131,1.01,94,100,12.9,RU,2023-02-07
164,Chui,-33.6971,-53.4616,28.0,43,3,1.81,UY,2023-02-07
165,Verkhoshizhem'ye,58.011,49.1038,-17.18,100,94,1.1,RU,2023-02-07
166,Sharlyk,52.9167,54.75,-16.86,98,12,2.56,RU,2023-02-07
167,Kismayo,-0.3582,42.5454,26.68,74,10,7.86,SO,2023-02-07
168,Esperance,-33.8667,121.9,19.01,94,22,5.34,AU,2023-02-07
169,Jamestown,42.097,-79.2353,2.77,81,0,7.2,US,2023-02-07
170,Terrace,54.5163,-128.6035,-0.05,100,100,3.6,CA,2023-02-07
171,Bāsār,27.9833,94.6667,10.49,94,41,1.3,IN,2023-02-07
172,Paamiut,61.994,-49.6678,-17.53,87,100,2.57,GL,2023-02-07
173,Haines Junction,60.7522,-137.5108,-11.03,92,100,1.03,CA,2023-02-07
174,Roald,62.5833,6.1333,6.29,87,75,4.12,NO,2023-02-07
175,St. George's,12.0564,-61.7485,25.91,76,99,6.31,GD,2023-02-07
176,Kodinsk,58.6881,99.1844,-20.3,100,100,1.47,RU,2023-02-07
177,Kibala,9.1104,18.3463,39.05,6,17,3.39,TD,2023-02-07
178,Grindavik,63.8424,-22.4338,-1.74,80,75,16.98,IS,2023-02-07
179,Leningradskiy,69.3833,178.4167,-30.22,96,100,3.35,RU,2023-02-07
180,Morros,-9.4467,-46.3003,30.88,49,93,1.97,BR,2023-02-07
181,Brae,60.3964,-1.3530000000000002,7.35,66,12,8.58,GB,2023-02-07
182,Codrington,-38.2667,141.9667,13.31,84,28,4.08,AU,2023-02-07
183,Oussouye,12.485,-16.5469,32.18,17,7,4.17,SN,2023-02-07
184,Pacifica,37.6138,-122.4869,10.0,90,20,2.06,US,2023-02-07
185,Beringovskiy,63.05,179.3167,-26.05,94,100,3.45,RU,2023-02-07
186,Arraial do Cabo,-22.9661,-42.0278,27.92,83,75,3.09,BR,2023-02-07
187,Nyagan,62.1406,65.3936,-24.54,100,66,1.21,RU,2023-02-07
188,Cidreira,-30.1811,-50.2056,26.14,63,4,3.61,BR,2023-02-07
189,Beisfjord,68.3751,17.5988,5.03,74,78,14.11,NO,2023-02-07
190,Narsaq,60.9167,-46.05,-19.88,61,86,2.93,GL,2023-02-07
191,San Francisco Ixhuatan,16.3569,-94.4825,23.5,66,0,1.49,MX,2023-02-07
192,Salinópolis,-0.6136,-47.3561,27.96,72,63,3.99,BR,2023-02-07
193,Noumea,-22.2763,166.4572,22.99,81,84,3.6,NC,2023-02-07
194,Klaksvík,62.2266,-6.5889999999999995,6.51,78,74,17.44,FO,2023-02-07
195,Fare,-16.7,-151.0167,26.32,79,31,5.19,PF,2023-02-07
196,Iporá,-16.4419,-51.1178,26.93,67,94,1.28,BR,2023-02-07
197,Benguela,-12.5763,13.4055,28.23,58,81,5.62,AO,2023-02-07
198,Bhag,29.0415,67.8239,21.48,18,10,0.13,PK,2023-02-07
199,Marawi,7.9986,124.2928,19.65,94,100,0.49,PH,2023-02-07
200,Youghal,51.95,-7.8506,9.56,93,100,3.5,IE,2023-02-07
201,Norman Wells,65.282,-126.8329,-24.98,77,75,1.54,CA,2023-02-07
202,Castro,-24.7911,-50.0119,24.85,58,19,0.84,BR,2023-02-07
203,Tarbagatay,51.4803,107.3602,-19.18,100,19,1.7,RU,2023-02-07
204,Kamariótissa,40.4833,25.4667,4.32,48,99,11.24,GR,2023-02-07
205,Sergeevka,53.88,67.4158,-12.87,97,100,1.86,KZ,2023-02-07
206,Tornio,65.8481,24.1466,2.01,88,100,6.24,FI,2023-02-07
207,Geraldton,-28.7667,114.6,22.23,78,0,5.14,AU,2023-02-07
208,Spodnje Hoče,46.5,15.65,2.23,51,0,1.03,SI,2023-02-07
209,Concordia,-31.393,-58.0209,32.04,33,0,2.57,AR,2023-02-07
210,Qaanaaq,77.484,-69.3632,-29.21,74,100,2.6,GL,2023-02-07
211,Havre-St-Pierre,50.2334,-63.5986,-17.89,82,59,1.91,CA,2023-02-07
212,Kahului,20.8947,-156.47,23.8,79,0,6.71,US,2023-02-07
213,Santo Antônio do Içá,-3.1022,-67.9397,24.29,95,97,0.3,BR,2023-02-07
214,Assaí,-23.3733,-50.8414,29.92,72,68,0.86,BR,2023-02-07
215,Necochea,-38.5473,-58.7368,24.88,58,21,5.23,AR,2023-02-07
216,Arrondissement de Villeneuve-sur-Lot,44.5,0.6667,8.97,75,100,8.38,FR,2023-02-07
217,Port-de-Bouc,43.4,4.9833,12.37,28,0,9.26,FR,2023-02-07
218,Sørland,67.667,12.6934,5.92,61,40,13.89,NO,2023-02-07
219,Port Lincoln,-34.7333,135.8667,17.94,79,0,7.58,AU,2023-02-07
220,Port Hardy,50.6996,-127.4199,7.16,93,100,2.57,CA,2023-02-07
221,Aklavik,68.2191,-135.0107,-32.37,96,100,3.25,CA,2023-02-07
222,Nador,35.174,-2.9287,16.04,63,20,4.12,MA,2023-02-07
223,Olafsvik,64.8945,-23.7142,-2.02,59,100,20.76,IS,2023-02-07
224,Mamlyutka,54.9375,68.5394,-14.23,96,100,2.52,KZ,2023-02-07
225,Verkhnyaya Inta,65.9811,60.3094,-15.3,88,100,5.04,RU,2023-02-07
226,Zyryanka,65.75,150.85,-35.57,99,100,2.31,RU,2023-02-07
227,Naze,28.3667,129.4833,16.51,78,67,5.78,JP,2023-02-07
228,Tara,56.8944,74.37100000000001,-16.67,99,98,2.01,RU,2023-02-07
229,Vao,-22.6667,167.4833,25.91,70,65,5.59,NC,2023-02-07
230,Mujiayingzi,42.1167,118.7833,-6.86,65,6,0.89,CN,2023-02-07
231,Sokoni,-6.4333,39.55,27.75,77,72,7.98,TZ,2023-02-07
232,San Quintín,30.4833,-115.95,12.14,49,0,1.56,MX,2023-02-07
233,Key West,24.5557,-81.7826,25.56,71,40,8.75,US,2023-02-07
234,Flin Flon,54.7682,-101.865,-16.12,97,100,3.33,CA,2023-02-07
235,Caetité,-14.0694,-42.475,27.66,44,50,2.98,BR,2023-02-07
236,Sola,-13.8833,167.55,27.56,74,94,4.57,VU,2023-02-07
237,Lakes Entrance,-37.8811,147.981,13.67,87,19,1.18,AU,2023-02-07
238,Beba,22.4437,-79.7253,24.15,74,98,6.91,CU,2023-02-07
239,Balikpapan,-1.2675,116.8289,28.55,79,75,1.54,ID,2023-02-07
240,Nabire,-3.3667,135.4833,24.53,93,100,1.32,ID,2023-02-07
241,Caraballeda,10.6112,-66.8522,28.81,77,40,1.54,VE,2023-02-07
242,Ilulissat,69.2167,-51.1,-21.08,98,100,2.5,GL,2023-02-07
243,Borisoglebsk,51.3671,42.0849,-10.42,91,10,4.22,RU,2023-02-07
244,Okhotsk,59.3833,143.3,-23.57,88,99,4.01,RU,2023-02-07
245,Hudson Bay,52.85,-102.3842,-14.34,98,85,0.56,CA,2023-02-07
246,Dubinino,55.6192,89.0911,-7.68,94,100,1.59,RU,2023-02-07
247,Provideniya,64.3833,-173.3,-25.05,91,86,1.42,RU,2023-02-07
248,Huarmey,-10.0681,-78.1522,23.58,77,61,2.94,PE,2023-02-07
249,Benghazi,32.1167,20.0667,13.21,56,84,8.87,LY,2023-02-07
250,Taltal,-25.4,-70.4833,22.63,75,26,2.18,CL,2023-02-07
251,Yurginskoye,56.8189,67.3921,-17.58,99,98,2.29,RU,2023-02-07
252,Newport,51.5877,-2.9984,9.47,74,5,0.25,GB,2023-02-07
253,Yellowknife,62.456,-114.3525,-18.71,84,100,3.6,CA,2023-02-07
254,Bani Walid,31.7566,13.9942,14.81,43,3,4.96,LY,2023-02-07
255,Tuy Hoa,13.0833,109.3,22.93,94,45,0.57,VN,2023-02-07
256,Touros,-5.1989,-35.4608,30.41,52,86,7.34,BR,2023-02-07
257,Sorong,-0.8833,131.25,26.46,83,100,2.11,ID,2023-02-07
258,Dali,25.7,100.1833,8.74,52,0,2.67,CN,2023-02-07
259,Fairbanks,64.8378,-147.7164,-12.65,80,100,2.06,US,2023-02-07
260,Mount Gambier,-37.8333,140.7667,12.58,87,59,3.61,AU,2023-02-07
261,Jiwani,25.05,61.7417,22.86,62,0,3.89,PK,2023-02-07
262,Tezu,27.9167,96.1667,14.61,92,90,1.86,IN,2023-02-07
263,Cam Ranh,11.9214,109.1591,24.98,83,20,2.57,VN,2023-02-07
264,Ormara,25.2088,64.6357,22.79,56,0,3.88,PK,2023-02-07
265,Sobolevo,54.4299,31.8996,-8.49,95,9,1.49,RU,2023-02-07
266,College,64.8569,-147.8028,-12.66,79,100,2.06,US,2023-02-07
267,Yangi Marg`ilon,40.4272,71.7189,8.4,66,5,0.0,UZ,2023-02-07
268,Egvekinot,66.3167,-179.1667,-31.13,86,94,4.16,RU,2023-02-07
269,Arawa,-6.2132,155.5367,25.22,92,100,0.74,PG,2023-02-07
270,Churapcha,62.0025,132.4325,-39.0,100,99,0.7,RU,2023-02-07
271,Vestmanna,62.1564,-7.1664,5.51,87,75,8.23,FO,2023-02-07
272,Savé,8.0425,2.4859999999999998,37.37,23,100,2.3,BJ,2023-02-07
273,Ranot,7.7777,100.3213,26.31,77,94,4.15,TH,2023-02-07
274,Thinadhoo,0.5333,72.9333,27.44,76,100,4.32,MV,2023-02-07
275,Kruisfontein,-34.0033,24.7314,23.17,68,99,6.99,ZA,2023-02-07
276,Piaçabuçu,-10.4056,-36.4344,29.71,50,87,4.86,BR,2023-02-07
277,Lindsay,36.203,-119.0882,1.82,94,0,2.06,US,2023-02-07
278,Cabedelo,-6.9811,-34.8339,30.37,60,81,6.26,BR,2023-02-07
279,Padang,-0.9492,100.3543,25.03,79,100,1.79,ID,2023-02-07
280,Saldanha,-33.0117,17.9442,19.91,83,100,10.55,ZA,2023-02-07
281,Ayan,56.45,138.1667,-30.36,81,15,3.97,RU,2023-02-07
282,San Rafael,-34.6177,-68.3301,30.68,22,0,2.85,AR,2023-02-07
283,Port-Gentil,-0.7193,8.7815,27.98,83,40,4.63,GA,2023-02-07
284,Hambantota,6.1241,81.1185,27.19,94,40,2.06,LK,2023-02-07
285,Sibolga,1.7427,98.7792,24.91,80,100,1.16,ID,2023-02-07
286,Auki,-8.7676,160.7034,24.96,91,100,2.16,SB,2023-02-07
287,Muyezerskiy,63.9333,31.65,0.15,97,100,6.06,RU,2023-02-07
288,Kamenka,51.3223,42.7678,-10.45,91,11,4.37,RU,2023-02-07
289,Dehlorān,32.6941,47.2679,15.38,41,85,4.69,IR,2023-02-07
290,Beya,53.0533,90.9139,-10.36,95,100,1.12,RU,2023-02-07
291,Sabang,5.8933,95.3214,26.81,80,89,3.38,ID,2023-02-07
292,Chiredzi,-21.05,31.6667,33.49,31,57,3.4,ZW,2023-02-07
293,Maniitsoq,65.4167,-52.9,-17.51,96,97,2.87,GL,2023-02-07
294,Dalbandin,28.8947,64.4101,19.6,18,57,1.24,PK,2023-02-07
295,Kenitra,34.260999999999996,-6.5802,17.42,67,0,5.07,MA,2023-02-07
296,Manitouwadge,49.1215,-85.8403,-0.63,98,100,3.56,CA,2023-02-07
297,Vestmannaeyjar,63.4427,-20.2734,1.55,75,75,14.92,IS,2023-02-07
298,Qandala,11.472000000000001,49.8728,24.97,76,82,3.09,SO,2023-02-07
299,Pio IX,-6.8375,-40.5792,29.32,54,57,3.61,BR,2023-02-07
300,Manokwari,-0.8667,134.0833,25.38,89,100,4.08,ID,2023-02-07
301,Sisimiut,66.9395,-53.6735,-20.3,93,100,1.25,GL,2023-02-07
302,Hofn,64.2539,-15.2082,4.8,65,100,18.48,IS,2023-02-07
303,La Palma,33.8464,-118.0467,16.44,39,0,2.06,US,2023-02-07
304,Domoni,-12.2569,44.5319,26.72,85,98,2.9,KM,2023-02-07
305,Solnechnyy,50.7214,136.6319,-22.04,97,100,0.98,RU,2023-02-07
306,Balatonfenyves,46.7154,17.4922,0.08,46,9,2.38,HU,2023-02-07
307,Portland,45.5234,-122.6762,9.24,79,100,5.36,US,2023-02-07
308,Tokur,53.1333,132.9,-34.49,100,100,0.25,RU,2023-02-07
309,La Ronge,55.1001,-105.2842,-10.86,85,100,3.09,CA,2023-02-07
310,Tarrafal,15.2833,-23.7667,23.44,62,5,10.42,CV,2023-02-07
311,Denia,38.8408,0.1057,11.53,80,100,6.71,ES,2023-02-07
312,Río Gallegos,-51.6226,-69.2181,12.9,73,100,2.43,AR,2023-02-07
313,Pātūr,20.45,76.9333,25.44,24,10,2.87,IN,2023-02-07
314,Abu Kamal,34.4506,40.9171,12.94,40,82,6.97,SY,2023-02-07
315,Hasaki,35.7333,140.8333,9.22,87,100,9.26,JP,2023-02-07
316,Beira,-19.8436,34.8389,30.58,57,20,6.13,MZ,2023-02-07
317,Avera,33.194,-82.5271,6.73,67,45,2.66,US,2023-02-07
318,Sept-Îles,50.2001,-66.3821,-13.86,85,62,1.34,CA,2023-02-07
319,Nuristan,35.3,70.8333,-13.74,60,0,5.28,AF,2023-02-07
320,Nichinan,31.6,131.3667,11.7,90,88,3.13,JP,2023-02-07
321,Abhā,18.2164,42.5053,21.9,45,20,4.63,SA,2023-02-07
322,Nanortalik,60.1432,-45.2371,-15.62,68,8,8.94,GL,2023-02-07
323,Farafangana,-22.8167,47.8333,23.92,87,100,2.27,MG,2023-02-07
324,Tuatapere,-46.1333,167.6833,10.82,73,70,3.25,NZ,2023-02-07
325,Bengkulu,-3.8004,102.2655,26.31,83,100,4.16,ID,2023-02-07
